ID,MW,POD_logmol,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,157.55599999999998,-5.648279391587241,10.074697656840513,-0.46197530864197534,10.074697656840513,0.05962962962963014,0.46360210314198946,157.55599999999998,153.524,156.993056048,52,0,0.2690274269930105,-0.25830962693941417,0.2690274269930105,0.25830962693941417,1.3,1.8,2.2,35.49569083440169,10.315524311720983,2.0082471222838993,-1.881852593869089,2.14081953058413,-1.8488319833692894,6.30125464847926,-0.38443697415152,3.003400684579818,244.4296583765568,7.560477932315068,4.951075726195415,5.70700467221387,4.698377302757663,2.599104610970622,2.9770690839798495,1.7335265650682026,2.169962345540187,1.0374447129740378,1.2894210283135228,0.5628070028158878,0.6887951604856302,-1.09,180.91251467537336,7.022233445566778,2.6626191750189108,1.4481065722834785,62.387645068878435,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,11.600939890232516,12.13273413692322,17.155367450664546,4.923311048817671,4.923311048817671,17.28832616491608,0.0,0.0,0.0,0.0,0.0,39.40241985635334,0.0,0.0,0.0,5.687386274683562,0.0,11.600939890232516,4.923311048817671,0.0,10.114318268765572,0.0,24.26546827384644,5.022633313741326,0.0,0.0,43.14,4.923311048817671,10.114318268765572,0.0,5.687386274683562,5.022633313741326,0.0,24.26546827384644,0.0,0.0,0.0,11.600939890232516,0.0,5.493752834467119,9.612722348198538,10.579882842025699,0.05962962962963014,0.0,5.698456790123457,0.0,0.0,0.0,0.0,10,0,3,0,0,0,1,0,1,2,0,4,1,0,0,0,1,2.2481999999999998,38.106400000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,138.126,-3.5334814705618562,10.07696523053666,-0.4588888888888887,10.07696523053666,0.0640740740740744,0.35954360900709126,138.126,132.07799999999997,138.042927432,52,0,0.26907480043028903,-0.3987220829005813,0.3987220829005813,0.26907480043028903,1.3,1.8,2.2,16.628204386554152,10.279066550352795,2.004101529990599,-1.8983342370548406,2.114665256275504,-1.8802511178881576,5.438024287474792,-0.3844283194796118,3.003400684579818,242.4296583765568,7.560477932315068,5.150461522375813,5.150461522375813,4.698377302757663,2.698797509060822,2.698797509060822,1.8486420081655432,1.8486420081655432,1.1039066450341708,1.1039066450341708,0.5960379688459543,0.5960379688459543,-1.58,180.91251467537336,6.538764845605701,2.344994095834573,1.2226169416633605,57.42426953900948,5.733667477162185,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,0.0,12.13273413692322,17.820120411606784,4.923311048817671,4.923311048817671,11.374772549367124,0.0,0.0,0.0,0.0,5.733667477162185,34.37978654261202,0.0,0.0,5.733667477162185,11.374772549367124,0.0,0.0,4.923311048817671,0.0,10.114318268765572,0.0,24.26546827384644,0.0,0.0,0.0,69.16,4.923311048817671,10.114318268765572,0.0,5.687386274683562,5.687386274683562,0.0,24.26546827384644,0.0,0.0,0.0,5.733667477162185,0.0,0.0,9.618076341647772,10.07696523053666,5.901254724111867,0.0,5.737037037037037,0.0,0.0,0.0,0.0,10,2,4,0,0,0,1,0,1,3,1,4,1,0,0,0,1,1.177,37.508800000000015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,145.24599999999998,-3.8247165604268214,9.323796296296297,-0.2870833333333338,9.323796296296297,0.021712962962963323,0.6117594394734541,145.24599999999998,126.09399999999998,145.146664228,62,0,0.06905091192592837,-0.3915154245951828,0.3915154245951828,0.06905091192592837,1.4,2.0,2.4,16.26783795798985,10.041145346121183,2.1004497489876823,-2.1544441011362077,2.0432601145365785,-2.3314565663556612,4.685559384060172,0.13016152821098106,3.3088402550227185,75.65784284662087,7.983127663125442,7.007691527815025,7.007691527815025,4.718744015013407,4.15557569971465,4.15557569971465,2.781679070903414,2.781679070903414,1.8190731502324384,1.8190731502324384,0.8994144654155253,0.8994144654155253,-0.08,148.59542533605534,9.92,5.685803850156088,3.854020551508844,63.42797027781454,10.84019487200289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.689117645233267,12.841643245852019,6.041840829147961,6.103966387748303,5.106527394840706,0.0,0.0,0.0,5.733667477162185,51.67656810798155,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.25233461173697,0.0,0.0,39.53076089108528,0.0,0.0,0.0,0.0,46.25,0.0,5.106527394840706,0.0,12.145807216896262,0.0,25.683286491704038,0.0,0.0,6.923737199690624,6.923737199690624,5.733667477162185,0.0,0.0,0.0,9.323796296296297,5.6072515117157975,0.0,-0.021712962962963323,3.642230725623582,4.115101095993953,0.0,1.0,10,3,2,0,0,0,0,0,0,2,2,2,5,0,0,0,0,1.2748,43.79820000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,972.8460000000011,-4.050020922204971,11.216799185204962,-2.148030234508729,11.216799185204962,0.9988708684690506,0.11748936025538878,972.8460000000011,912.3660000000002,972.3169405200002,384,0,0.18673275214983254,-0.3935663177635201,0.3935663177635201,0.18673275214983254,0.18181818181818182,0.30303030303030304,0.4090909090909091,16.7909606093219,9.944937346060062,2.583123689405908,-2.5034219653860204,2.3765231156905333,-2.6873458609315493,5.005491256506101,-0.4036319062594187,1.190254370317179,1233.4857443469036,48.048430137046594,34.51197296737365,34.51197296737365,31.41829263131067,21.102097265342508,21.102097265342508,16.844295392204543,16.844295392204543,12.671478720786514,12.671478720786514,8.927761457006978,8.927761457006978,-1.2000000000000004,182802553581384.47,52.6198793450158,22.059591241285467,10.009092001682587,372.1301572506171,148.7598485527333,146.49519330595925,37.740160376011275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.641291787077506,148.7598485527333,0.0,0.0,0.0,0.0,184.2353536819705,39.641291787077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.7941385761808,56.84235544560059,0.0,0.0,0.0,0.0,0.0,0.0,474.9000000000001,223.87664546904801,91.91749310713271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.84235544560059,67.85940288344777,0.0,0.0,195.61305627129158,0.0,0.0,0.0,-58.47923394392509,-5.993225210814306,0.0,1.0,66,18,30,0,22,22,0,0,0,30,18,30,6,0,22,22,22,-13.054800000000023,195.80039999999966,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,117.192,-3.575950040372425,8.457222222222223,0.2794444444444444,8.457222222222223,0.2794444444444444,0.5729565292361726,117.192,102.07199999999997,117.1153641,50,0,0.055797107120473165,-0.3950445740257861,0.3950445740257861,0.055797107120473165,1.25,1.75,1.875,16.25134484261249,10.478484528562532,1.930513276878979,-2.145445409491679,1.8203124310409928,-2.2538790895975978,4.473970155613817,0.20812041499963155,3.0743734120651833,43.79319390447952,6.405777393935816,5.7228543157461065,5.7228543157461065,3.8460652149512318,3.179124626440447,3.179124626440447,1.7504895207835705,1.7504895207835705,1.3106549570167536,1.3106549570167536,0.6812559200041262,0.6812559200041262,-0.08,58.51622162380951,7.919999999999998,5.0645086705202305,2.9925383407397503,51.11802902221198,10.006437125691184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.08951281182515,6.544756405912575,6.606881964512918,5.106527394840706,0.0,0.0,4.899909730850478,0.0,13.847474399381248,26.241151182250643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.247588307941825,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,23.47,0.0,0.0,0.0,6.606881964512918,0.0,19.634269217737724,0.0,0.0,0.0,18.747384130231726,5.106527394840706,0.0,0.0,2.1805555555555554,8.457222222222223,0.0,0.0,0.0,0.0,7.362222222222223,0.0,1.0,8,1,2,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0.32050000000000006,34.87379999999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,342.297,-3.226584457223344,10.906107174351222,-2.0516591343327457,10.906107174351222,0.031693042957923634,0.15678531901518977,342.297,320.12100000000004,342.11621152399994,136,0,0.15108262324404492,-0.3935791329047371,0.3935791329047371,0.15108262324404492,0.6521739130434783,0.9565217391304348,1.173913043478261,16.53400858048276,10.015450404453322,2.3731484103492932,-2.303755381169934,2.129506970000649,-2.5239581818473793,5.607181609713015,-0.18014786618762912,4.984468645193134,319.8986390533051,18.154336059449747,11.99016988966061,11.99016988966061,10.742018482667126,6.6076211596931,6.6076211596931,4.7996931319260465,4.7996931319260465,3.118109944343304,3.118109944343304,1.6274674381281715,1.6274674381281715,-1.0200000000000002,65064.928681885816,21.98,10.697961517493605,6.176725336147325,130.54407373335474,55.17815648066933,48.83173110198641,12.57232104625911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,55.17815648066933,12.57232104625911,0.0,0.0,0.0,48.83173110198641,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.47003523599702,14.325937321943691,0.0,0.0,0.0,0.0,0.0,0.0,205.20999999999998,62.045495031012244,40.22823873718787,0.0,12.57232104625911,0.0,0.0,0.0,0.0,0.0,0.0,14.94991774348146,4.762496220710506,0.0,21.81221434870244,73.9718578070959,0.0,0.0,0.0,-15.528600930628349,-1.8513007792138376,0.0,0.8333333333333334,23,8,11,0,0,0,0,0,0,11,8,11,12,0,0,0,0,-5.711999999999993,71.00140000000003,0,8,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,108.18399999999998,-3.403502711328085,3.7504629629629633,0.7638888888888888,3.7504629629629633,0.7638888888888888,0.45266171579956244,108.18399999999998,96.08799999999998,108.093900384,44,0,-0.01986527814080997,-0.10279210838857177,0.10279210838857177,0.01986527814080997,1.5,2.375,2.75,14.07807136254655,9.94897634623385,2.0231655753420688,-2.106643265694657,2.173134215706029,-1.9606783857332086,4.949173729791275,0.5848133079330564,2.3714157955008353,100.6059378176129,5.819990956308912,5.137828201504693,5.137828201504693,3.931851652578137,3.207908118985982,3.207908118985982,2.280238966157534,2.280238966157534,1.6429563388745072,1.6429563388745072,1.0310971652475587,1.0310971652475587,-0.52,91.36757727918736,5.613689839572192,2.706103595585618,1.2238266659545305,50.90880861070807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,18.228060320501644,25.18037091493942,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,19.26246486877803,0.0,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,19.26246486877803,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,19.26246486877803,0.0,0.0,24.80699600410014,0.0,0.0,0.0,0.0,0.0,0.0,0.7638888888888888,0.0,10.318981481481481,3.7504629629629633,0.0,0.5,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2.5287000000000006,36.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,104.15199999999997,-3.836192373643618,3.630925925925926,1.1736111111111112,3.630925925925926,1.1736111111111112,0.5126059376700752,104.15199999999997,96.08799999999998,104.062600256,40,0,-0.02625578937784246,-0.09847005004016512,0.09847005004016512,0.02625578937784246,1.125,1.75,2.125,13.813866930193818,10.213378517192888,1.753175678370804,-1.847610823135481,1.969026457273406,-1.6332305402260126,5.452095614533308,1.6665744673634502,2.9910469146846212,162.65300142116237,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.607607027581636,2.607607027581636,1.614807747754891,1.614807747754891,1.0352747518073642,1.0352747518073642,0.589121682286802,0.589121682286802,-1.04,91.36757727918736,5.10367816091954,2.3141072195146584,0.9688488520408163,49.47168431610592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.98679113274043,5.563451491696996,0.0,0.0,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,42.47422251760354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,36.91077102590655,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451491696996,0.0,36.407855449141934,6.578935683598497,0.0,0.0,0.0,0.0,0.0,1.1736111111111112,0.0,10.028796296296296,1.8333333333333333,3.630925925925926,0.0,0.0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2.3296,36.53300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,158.28499999999997,-3.439758614579289,8.956466364323507,0.38646258503401376,8.956466364323507,0.38646258503401376,0.5646804204500249,158.28499999999997,136.10899999999998,158.167065324,68,0,0.04587624611104954,-0.39608816889999127,0.39608816889999127,0.04587624611104954,1.0,1.7272727272727273,2.1818181818181817,16.250984990245716,9.975335165215972,2.037829919047739,-2.1099763590059264,2.138259960856749,-2.0459628734382815,4.561037709429912,0.2065819577269839,3.203898482222309,71.27302875388389,8.52709773749546,7.974311332995418,7.974311332995418,5.346065214951232,4.955186199781522,4.955186199781522,3.3330566399956667,3.3330566399956667,2.171048141094905,2.171048141094905,1.4181727454885438,1.4181727454885438,-0.04,272.49917353962735,10.96,8.060401606425705,6.361606425702812,70.81796380959504,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53076089108528,18.75954929201341,6.606881964512918,0.0,5.106527394840706,0.0,0.0,0.0,5.917906046161393,52.372404136937305,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,5.917906046161393,52.372404136937305,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,12.52478801067431,0.0,38.524929737556064,0.0,0.0,13.847474399381248,5.106527394840706,0.0,0.0,0.0,8.956466364323507,0.0,0.575509259259259,0.0,7.51583380574452,4.785523904006046,0.0,1.0,11,1,1,0,0,0,0,0,0,1,1,1,7,0,0,0,0,2.9753000000000016,49.62580000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,107.15599999999996,-3.4426288730606527,5.349814814814815,0.6397222222222221,5.349814814814815,0.6397222222222221,0.5719431747561196,107.15599999999996,98.08399999999997,107.073499288,42,0,0.01776076294675399,-0.3264975066178272,0.3264975066178272,0.01776076294675399,1.125,1.75,2.125,14.515062960852893,10.215279233802619,1.7953914174043581,-1.895041586950944,1.9362391652971884,-1.9357065584699509,5.13116773440679,1.0714499353361218,2.8320858350070908,145.73281445033504,5.819990956308912,4.671208396324302,4.671208396324302,3.931851652578137,2.6724852835800967,2.6724852835800967,1.6897227048854206,1.6897227048854206,1.0785269224730047,1.0785269224730047,0.6140933346636451,0.6140933346636451,-0.8200000000000001,91.36757727918736,5.319275766016713,2.4782287289052554,1.073981896801325,49.13623593090629,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,6.544756405912575,0.0,0.0,0.0,0.0,0.0,5.733667477162185,6.544756405912575,0.0,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,30.33183534230805,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.544756405912575,0.0,5.563451491696996,0.0,30.33183534230805,0.0,5.733667477162185,0.0,0.0,0.0,0.0,6.537314814814815,0.0,9.98962962962963,0.0,0.6397222222222221,0.0,0.14285714285714285,8,2,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1.1453,34.333400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
